Date,Home,Away,PredictResult,H,D,A
29/04/2023,Strasbourg,Lyon,Lyon,19.16%,22.27%,58.57%
29/04/2023,Lille,Ajaccio,Lille,64.56%,22.52%,12.91%
30/04/2023,Monaco,Montpellier,Monaco,61.60%,19.08%,19.32%
30/04/2023,Clermont,Reims,Clermont,40.04%,25.97%,33.99%
30/04/2023,Rennes,Angers,Rennes,68.90%,18.31%,12.78%
30/04/2023,Troyes,Nice,Nice,31.94%,31.66%,36.41%
30/04/2023,PSG,Lorient,PSG,56.96%,21.35%,21.70%
01/05/2023,Marseille,Auxerre,Marseille,71.49%,19.05%,9.45%
03/05/2023,Toulouse,Lens,Lens,23.67%,32.52%,43.80%
04/05/2023,Brest,Nantes,Nantes,29.75%,32.74%,37.51%
